method,dataset,hop,rep,seed,iteration,total_travel_time,candidate_count,selected_count,reroute_count,batch_count,evaluate_sec,candidate_sec,select_sec,batch_sec,reroute_sec,iteration_sec,run_sec
gro,Hop20Rep1-0,20,1,0,5,50282541,230,106,106,24,,0.055255,0.253949,0.040771,0.107733,,
gro,Hop20Rep1-0,20,1,0,6,49794480,296,142,142,34,,0.059198,0.279565,0.052981,0.138528,,
gro,Hop20Rep1-0,20,1,0,7,48981373,237,107,107,24,,0.058518,0.264484,0.054220,0.115543,,
gro,Hop20Rep1-0,20,1,0,8,49613586,171,76,76,14,,0.062515,0.259936,0.021334,0.084073,,
gro,Hop20Rep1-0,20,1,0,9,49938001,182,81,81,17,,0.062845,0.266475,0.027557,0.095811,,
gro_baseline,Hop20Rep1-0,20,1,0,-1,47960014,,,,,,,,,,,14.073947
gro_baseline,Hop20Rep1-0,20,1,0,0,61370530,,307,307,,2.166613,,,,0.069299,2.236160,
gro_baseline,Hop20Rep1-0,20,1,0,1,54910786,,307,307,,1.499373,,,,0.086574,1.586232,
gro_baseline,Hop20Rep1-0,20,1,0,2,50501197,,307,307,,1.213423,,,,0.084344,1.298026,
gro_baseline,Hop20Rep1-0,20,1,0,3,50624924,,307,307,,1.138602,,,,0.081935,1.220796,
gro_baseline,Hop20Rep1-0,20,1,0,4,50708661,,307,307,,1.106521,,,,0.082562,1.189367,
gro_baseline,Hop20Rep1-0,20,1,0,5,48883174,,307,307,,1.044045,,,,0.073385,1.117706,
gro_baseline,Hop20Rep1-0,20,1,0,6,48393486,,307,307,,1.006235,,,,0.072590,1.079102,
gro_baseline,Hop20Rep1-0,20,1,0,7,48875651,,307,307,,1.002077,,,,0.086778,1.089110,
gro_baseline,Hop20Rep1-0,20,1,0,8,47973717,,307,307,,1.003959,,,,0.080108,1.084306,
gro_baseline,Hop20Rep1-0,20,1,0,9,48948532,,307,307,,1.004042,,,,0.080598,1.084951,
gro,Hop20Rep2-0,20,2,0,-1,125369245,,,,,,,,,,,74.695841
gro,Hop20Rep2-0,20,2,0,0,142045298,481,148,148,94,,0.104904,0.776714,0.793298,0.211803,,
gro,Hop20Rep2-0,20,2,0,1,136874570,367,164,164,50,,0.111322,0.716464,0.348582,0.157030,,
gro,Hop20Rep2-0,20,2,0,2,133229911,340,162,162,57,,0.119435,0.790188,0.534328,0.188792,,
gro,Hop20Rep2-0,20,2,0,3,131018294,285,99,99,53,,0.126984,0.673344,0.422410,0.198962,,
gro,Hop20Rep2-0,20,2,0,4,130395418,351,167,167,35,,0.124546,0.630407,0.228625,0.188723,,
gro,Hop20Rep2-0,20,2,0,5,129802209,259,120,120,31,,0.154058,0.710242,0.231463,0.165465,,
gro,Hop20Rep2-0,20,2,0,6,129135758,399,185,185,45,,0.130477,0.687617,0.378612,0.246697,,
gro,Hop20Rep2-0,20,2,0,7,127874439,447,190,190,38,,0.134511,0.645213,0.147360,0.280423,,
gro,Hop20Rep2-0,20,2,0,8,128019411,634,284,284,43,,0.133918,0.822451,0.566014,0.352939,,
gro,Hop20Rep2-0,20,2,0,9,124891316,549,250,250,34,,0.135755,0.718152,0.247724,0.302778,,
gro_baseline,Hop20Rep2-0,20,2,0,-1,121390842,,,,,,,,,,,45.677083
gro_baseline,Hop20Rep2-0,20,2,0,0,142045298,,614,614,,6.355163,,,,0.159883,6.515574,
gro_baseline,Hop20Rep2-0,20,2,0,1,134087630,,614,614,,5.527978,,,,0.191223,5.719814,
gro_baseline,Hop20Rep2-0,20,2,0,2,130598855,,614,614,,4.568571,,,,0.164246,4.733345,
gro_baseline,Hop20Rep2-0,20,2,0,3,126473431,,614,614,,3.650498,,,,0.164254,3.815304,
gro_baseline,Hop20Rep2-0,20,2,0,4,124866349,,614,614,,3.824655,,,,0.297311,4.122785,
gro_baseline,Hop20Rep2-0,20,2,0,5,126106609,,614,614,,3.396858,,,,0.155108,3.552507,
gro_baseline,Hop20Rep2-0,20,2,0,6,125628108,,614,614,,3.380404,,,,0.157937,3.538864,
gro_baseline,Hop20Rep2-0,20,2,0,7,122659720,,614,614,,3.161003,,,,0.164210,3.325740,
gro_baseline,Hop20Rep2-0,20,2,0,8,125169342,,614,614,,3.182054,,,,0.161007,3.343577,
gro_baseline,Hop20Rep2-0,20,2,0,9,125061280,,614,614,,3.275844,,,,0.158322,3.434670,
gro,Hop20Rep4-0,20,4,0,-1,321826817,,,,,,,,,,,183.668448
gro,Hop20Rep4-0,20,4,0,0,302905825,754,236,236,120,,0.177500,1.026715,1.039065,0.282495,,
gro,Hop20Rep4-0,20,4,0,1,298234457,640,224,224,82,,0.181092,1.308701,1.028688,0.251353,,
gro,Hop20Rep4-0,20,4,0,2,294910627,673,233,233,97,,0.196884,1.486594,2.339156,0.335987,,
gro,Hop20Rep4-0,20,4,0,3,292587631,527,262,262,85,,0.212105,1.117857,0.647897,0.420844,,
gro,Hop20Rep4-0,20,4,0,4,295443355,604,295,295,64,,0.231652,1.327255,1.374995,0.401870,,
gro,Hop20Rep4-0,20,4,0,5,299452512,721,349,349,132,,0.251136,1.376078,1.552377,0.871019,,
gro,Hop20Rep4-0,20,4,0,6,308315862,736,146,146,99,,0.280765,2.518978,2.115540,0.421621,,
gro,Hop20Rep4-0,20,4,0,7,310716015,608,288,288,62,,0.302874,1.458582,0.891328,0.447478,,
gro,Hop20Rep4-0,20,4,0,8,308560334,715,200,200,59,,0.313242,1.513275,0.890650,0.504405,,
gro,Hop20Rep4-0,20,4,0,9,316167238,796,364,364,88,,0.328001,1.662722,1.282837,0.888005,,
gro_baseline,Hop20Rep4-0,20,4,0,-1,314986776,,,,,,,,,,,124.169913
gro_baseline,Hop20Rep4-0,20,4,0,0,302905825,,1228,1228,,13.011614,,,,0.292358,13.304968,
gro_baseline,Hop20Rep4-0,20,4,0,1,308313129,,1228,1228,,11.986553,,,,0.370481,12.358133,
gro_baseline,Hop20Rep4-0,20,4,0,2,315104186,,1228,1228,,12.224057,,,,0.296868,12.521908,
gro_baseline,Hop20Rep4-0,20,4,0,3,313749338,,1228,1228,,12.091302,,,,0.331145,12.423493,
gro_baseline,Hop20Rep4-0,20,4,0,4,314661020,,1228,1228,,10.613921,,,,0.305411,10.920229,
gro_baseline,Hop20Rep4-0,20,4,0,5,302902854,,1228,1228,,10.255703,,,,0.303352,10.560131,
gro_baseline,Hop20Rep4-0,20,4,0,6,300052342,,1228,1228,,10.003798,,,,0.296032,10.300933,
gro_baseline,Hop20Rep4-0,20,4,0,7,313317473,,1228,1228,,9.888401,,,,0.288099,10.177524,
gro_baseline,Hop20Rep4-0,20,4,0,8,304545050,,1228,1228,,9.516372,,,,0.348661,9.866102,
gro_baseline,Hop20Rep4-0,20,4,0,9,312135639,,1228,1228,,10.112478,,,,0.309759,10.423218,
gro,Hop40Rep1-0,40,1,0,-1,44757950,,,,,,,,,,,17.879030
gro,Hop40Rep1-0,40,1,0,0,62292886,244,114,114,15,,0.076190,0.367785,0.064091,0.100362,,
gro,Hop40Rep1-0,40,1,0,1,57647520,196,92,92,16,,0.075073,0.338320,0.049482,0.085435,,
gro,Hop40Rep1-0,40,1,0,2,54248814,284,131,131,19,,0.073268,0.366054,0.094293,0.120095,,
gro,Hop40Rep1-0,40,1,0,3,49836683,430,194,194,20,,0.073312,0.372095,0.087204,0.159117,,
gro,Hop40Rep1-0,40,1,0,4,46058112,532,230,230,19,,0.074991,0.380675,0.092162,0.175115,,
gro,Hop40Rep1-0,40,1,0,5,44215645,393,182,182,17,,0.075464,0.350550,0.040278,0.160912,,
gro,Hop40Rep1-0,40,1,0,6,43759169,286,130,130,11,,0.077012,0.323583,0.018529,0.126897,,
gro,Hop40Rep1-0,40,1,0,7,43560034,338,149,149,9,,0.085459,0.325018,0.017606,0.156762,,
gro,Hop40Rep1-0,40,1,0,8,43758818,364,152,152,8,,0.077658,0.325954,0.016485,0.160169,,
gro,Hop40Rep1-0,40,1,0,9,44383594,356,152,152,9,,0.077592,0.334008,0.015904,0.280185,,
gro_baseline,Hop40Rep1-0,40,1,0,-1,44735102,,,,,,,,,,,10.699521
gro_baseline,Hop40Rep1-0,40,1,0,0,62292886,,307,307,,1.103969,,,,0.106338,1.210552,
gro_baseline,Hop40Rep1-0,40,1,0,1,54043627,,307,307,,1.076287,,,,0.102061,1.178579,
gro_baseline,Hop40Rep1-0,40,1,0,2,49949419,,307,307,,0.910710,,,,0.098291,1.009221,
gro_baseline,Hop40Rep1-0,40,1,0,3,46803093,,307,307,,0.832097,,,,0.164819,0.997144,
gro_baseline,Hop40Rep1-0,40,1,0,4,45952431,,307,307,,0.790414,,,,0.121006,0.911680,
gro_baseline,Hop40Rep1-0,40,1,0,5,44992230,,307,307,,0.759634,,,,0.122874,0.882729,
gro_baseline,Hop40Rep1-0,40,1,0,6,43773742,,307,307,,0.761988,,,,0.126918,0.889137,
gro_baseline,Hop40Rep1-0,40,1,0,7,43420440,,307,307,,0.731619,,,,0.112046,0.843892,
gro_baseline,Hop40Rep1-0,40,1,0,8,43336721,,307,307,,0.735399,,,,0.111076,0.846715,
gro_baseline,Hop40Rep1-0,40,1,0,9,43940172,,307,307,,0.836517,,,,0.104268,0.941008,
gro,Hop40Rep2-0,40,2,0,-1,97994687,,,,,,,,,,,53.976516
gro,Hop40Rep2-0,40,2,0,0,183334760,366,174,174,36,,0.165035,0.777742,0.264205,0.171632,,
gro,Hop40Rep2-0,40,2,0,1,170626215,321,29,29,17,,0.160506,0.645322,0.066121,0.121352,,
gro,Hop40Rep2-0,40,2,0,2,167877832,321,29,29,14,,0.162869,0.652270,0.063038,0.114634,,
gro,Hop40Rep2-0,40,2,0,3,164407942,433,196,196,26,,0.159229,0.866730,0.390780,0.187872,,
gro,Hop40Rep2-0,40,2,0,4,145801447,420,193,193,30,,0.156949,0.771827,0.245242,0.200414,,
gro,Hop40Rep2-0,40,2,0,5,132309975,749,343,343,33,,0.153776,0.894143,0.387834,0.313001,,
gro,Hop40Rep2-0,40,2,0,6,114900015,645,276,276,25,,0.156637,0.775731,0.204994,0.282409,,
gro,Hop40Rep2-0,40,2,0,7,107545734,1046,455,455,24,,0.160348,0.859470,0.361853,0.470383,,
gro,Hop40Rep2-0,40,2,0,8,100559980,1065,468,468,23,,0.164386,0.822083,0.159283,0.475035,,
gro,Hop40Rep2-0,40,2,0,9,98727765,834,358,358,15,,0.168702,0.769192,0.067196,0.391160,,
gro_baseline,Hop40Rep2-0,40,2,0,-1,102199419,,,,,,,,,,,29.318656
gro_baseline,Hop40Rep2-0,40,2,0,0,183334760,,614,614,,4.492342,,,,0.229298,4.722094,
gro_baseline,Hop40Rep2-0,40,2,0,1,138964593,,614,614,,3.579705,,,,0.208213,3.788345,
gro_baseline,Hop40Rep2-0,40,2,0,2,120579376,,614,614,,2.597681,,,,0.207542,2.805661,
gro_baseline,Hop40Rep2-0,40,2,0,3,111840655,,614,614,,2.220189,,,,0.206784,2.427418,
gro_baseline,Hop40Rep2-0,40,2,0,4,103828194,,614,614,,1.993772,,,,0.234794,2.228997,
gro_baseline,Hop40Rep2-0,40,2,0,5,106890203,,614,614,,2.011045,,,,0.211252,2.222747,
gro_baseline,Hop40Rep2-0,40,2,0,6,103444603,,614,614,,1.959121,,,,0.234382,2.193938,
gro_baseline,Hop40Rep2-0,40,2,0,7,102897646,,614,614,,1.946284,,,,0.267663,2.214389,
gro_baseline,Hop40Rep2-0,40,2,0,8,105024863,,614,614,,1.939271,,,,0.217941,2.157657,
gro_baseline,Hop40Rep2-0,40,2,0,9,104764660,,614,614,,1.974943,,,,0.224628,2.200022,
gro,Hop40Rep4-0,40,4,0,-1,351392437,,,,,,,,,,,198.427835
gro,Hop40Rep4-0,40,4,0,0,460985702,285,137,137,77,,0.322847,1.182901,0.073850,0.340987,,
gro,Hop40Rep4-0,40,4,0,1,447629667,274,63,63,55,,0.313802,1.061227,0.087527,0.286080,,
gro,Hop40Rep4-0,40,4,0,2,441361432,361,182,182,74,,0.312462,1.492805,1.021422,0.363097,,
gro,Hop40Rep4-0,40,4,0,3,425595422,251,71,71,68,,0.317931,1.306385,0.343137,0.352242,,
gro,Hop40Rep4-0,40,4,0,4,419160535,228,106,106,57,,0.327612,1.202610,0.029246,0.355972,,
gro,Hop40Rep4-0,40,4,0,5,409733186,328,58,58,34,,0.327760,1.306171,0.383368,0.266271,,
gro,Hop40Rep4-0,40,4,0,6,405037004,491,36,36,33,,0.328309,1.250979,0.574150,0.237181,,
gro,Hop40Rep4-0,40,4,0,7,401981399,590,269,269,56,,0.331335,1.976780,0.622200,0.369577,,
gro,Hop40Rep4-0,40,4,0,8,386160777,740,206,206,76,,0.325968,4.311419,2.580082,0.453395,,
gro,Hop40Rep4-0,40,4,0,9,367545856,478,227,227,64,,0.340107,1.683209,1.290876,0.438217,,
gro_baseline,Hop40Rep4-0,40,4,0,-1,249622058,,,,,,,,,,,88.723267
gro_baseline,Hop40Rep4-0,40,4,0,0,460985702,,1228,1228,,14.614449,,,,0.396760,15.012086,
gro_baseline,Hop40Rep4-0,40,4,0,1,376959852,,1228,1228,,11.988797,,,,0.371755,12.361415,
gro_baseline,Hop40Rep4-0,40,4,0,2,338430388,,1228,1228,,9.402158,,,,0.409252,9.812282,
gro_baseline,Hop40Rep4-0,40,4,0,3,289101715,,1228,1228,,7.434856,,,,0.410615,7.846329,
gro_baseline,Hop40Rep4-0,40,4,0,4,282906602,,1228,1228,,6.693576,,,,0.408101,7.102530,
gro_baseline,Hop40Rep4-0,40,4,0,5,273778027,,1228,1228,,6.165285,,,,0.418443,6.584642,
gro_baseline,Hop40Rep4-0,40,4,0,6,261461252,,1228,1228,,5.843179,,,,0.451596,6.295680,
gro_baseline,Hop40Rep4-0,40,4,0,7,252860633,,1228,1228,,5.662542,,,,0.416822,6.080297,
gro_baseline,Hop40Rep4-0,40,4,0,8,248536230,,1228,1228,,5.259574,,,,0.398141,5.658600,
gro_baseline,Hop40Rep4-0,40,4,0,9,245045700,,1228,1228,,5.294671,,,,0.423667,5.719219,
