algorithm,dataset,hop,rep,seed,label,iteration,total_travel_time
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,8,164631993
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,9,164011887
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,10,161248977
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,0,61370530
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,1,56859628
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,2,54729834
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,3,53531270
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,4,52497740
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,5,50282541
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,6,49794480
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,7,48981373
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,8,49613586
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,9,49938001
gro,Hop20Rep1-0,20,1,0,TOTAL_TRAVEL_TIME,10,50094240
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,0,142045298
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,1,136874570
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,2,133229911
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,3,131018294
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,4,130395418
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,5,129802209
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,6,129135758
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,7,127874439
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,8,128019411
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,9,124891316
gro,Hop20Rep2-0,20,2,0,TOTAL_TRAVEL_TIME,10,125369245
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,0,302905825
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,1,298234457
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,2,294910627
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,3,292587631
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,4,295443355
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,5,299452512
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,6,308315862
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,7,310716015
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,8,308560334
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,9,316167238
gro,Hop20Rep4-0,20,4,0,TOTAL_TRAVEL_TIME,10,321826817
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,0,62292886
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,1,57647520
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,2,54248814
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,3,49836683
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,4,46058112
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,5,44215645
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,6,43759169
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,7,43560034
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,8,43758818
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,9,44383594
gro,Hop40Rep1-0,40,1,0,TOTAL_TRAVEL_TIME,10,44757950
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,0,183334760
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,1,170626215
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,2,167877832
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,3,164407942
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,4,145801447
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,5,132309975
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,6,114900015
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,7,107545734
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,8,100559980
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,9,98727765
gro,Hop40Rep2-0,40,2,0,TOTAL_TRAVEL_TIME,10,97994687
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,0,460985702
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,1,447629667
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,2,441361432
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,3,425595422
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,4,419160535
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,5,409733186
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,6,405037004
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,7,401981399
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,8,386160777
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,9,367545856
gro,Hop40Rep4-0,40,4,0,TOTAL_TRAVEL_TIME,10,351392437
