algorithm,dataset,hop,rep,seed,label,iteration,query_count,time_sec,size,candidate_count,candidate_sec,selected_count,select_impact_sec,select_rank_sec,select_scan_sec,select_remove_sec,select_total_sec,batch_count,batch_queries_sec,reroute_query_count,reroute_query_sec,insert_trajectory_sec,reroute_total_sec,initial_routes_sec,reroute_count,total_travel_time,evaluate_sec,reroute_sec,iteration_sec,run_sec
gro,Hop10Rep1-0,10,1,0,IMPACT,4,,0.060402,20519,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,4,,,,312,0.035615,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,4,,,,312,,150,0.119956,0.001114,0.026883,0.026148,0.169019,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,4,,,,,,150,,,,,,23,0.027249,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,4,,,,,,,,,,,,,,150,0.051919,0.019977,0.093027,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,4,,0.878053,,,,150,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,5,1024,0.421308,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,5,,0.083598,20488,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,5,,0.059781,20488,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,5,,,,291,0.036358,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,5,,,,291,,142,0.119681,0.001000,0.024648,0.024015,0.166174,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,5,,,,,,142,,,,,,16,0.017308,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,5,,,,,,,,,,,,,,142,0.047774,0.019409,0.088171,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,5,,0.885811,,,,142,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,6,1024,0.374480,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,6,,0.080921,20337,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,6,,0.057435,20337,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,6,,,,283,0.035494,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,6,,,,283,,136,0.114067,0.000927,0.023050,0.022474,0.158944,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,6,,,,,,136,,,,,,18,0.024631,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,6,,,,,,,,,,,,,,136,0.051600,0.020850,0.093373,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,6,,0.838015,,,,136,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,7,1024,0.393670,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,7,,0.085104,20237,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,7,,0.059644,20237,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,7,,,,265,0.036499,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,7,,,,265,,131,0.118368,0.000902,0.022644,0.021957,0.163126,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,7,,,,,,131,,,,,,16,0.018042,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,7,,,,,,,,,,,,,,131,0.045536,0.017030,0.083884,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,7,,0.852764,,,,131,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,8,1024,0.389056,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,8,,0.081978,20344,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,8,,0.057702,20344,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,8,,,,275,0.035459,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,8,,,,275,,136,0.115262,0.000990,0.024502,0.023916,0.162179,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,8,,,,,,136,,,,,,16,0.026735,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,8,,,,,,,,,,,,,,136,0.048883,0.021988,0.092138,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,8,,0.858474,,,,136,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,9,1024,0.385440,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,9,,0.084449,20168,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,9,,0.060648,20168,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,9,,,,261,0.037220,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,9,,,,261,,127,0.119204,0.000922,0.023285,0.022613,0.164359,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,9,,,,,,127,,,,,,16,0.020631,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,9,,,,,,,,,,,,,,127,0.047264,0.019216,0.087334,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,9,,0.853151,,,,127,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,-1,1024,0.381366,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,RUN,-1,1024,9.633724,,,,,,,,,,,,,,,,,,,,,,
baseline,Hop10Rep1-0,10,1,0,BASELINE_INITIAL,,,,,,,,,,,,,,,,,,,0.119769,,,,,,
baseline,Hop10Rep1-0,10,1,0,BASELINE,0,,,,,,307,,,,,,,,,,,,,307,27030182,0.490160,0.056261,0.547177,
baseline,Hop10Rep1-0,10,1,0,BASELINE,1,,,,,,307,,,,,,,,,,,,,307,24994747,0.529371,0.071519,0.601118,
baseline,Hop10Rep1-0,10,1,0,BASELINE,2,,,,,,307,,,,,,,,,,,,,307,24316982,0.485629,0.060203,0.546067,
baseline,Hop10Rep1-0,10,1,0,BASELINE,3,,,,,,307,,,,,,,,,,,,,307,24204435,0.482984,0.058405,0.541612,
baseline,Hop10Rep1-0,10,1,0,BASELINE,4,,,,,,307,,,,,,,,,,,,,307,24028770,0.475830,0.055638,0.531700,
baseline,Hop10Rep1-0,10,1,0,BASELINE,5,,,,,,307,,,,,,,,,,,,,307,23993716,0.495182,0.056432,0.551830,
baseline,Hop10Rep1-0,10,1,0,BASELINE,6,,,,,,307,,,,,,,,,,,,,307,23929437,0.489054,0.057570,0.546851,
baseline,Hop10Rep1-0,10,1,0,BASELINE,7,,,,,,307,,,,,,,,,,,,,307,24097890,0.477008,0.054938,0.532168,
baseline,Hop10Rep1-0,10,1,0,BASELINE,8,,,,,,307,,,,,,,,,,,,,307,24043671,0.485846,0.059127,0.545439,
baseline,Hop10Rep1-0,10,1,0,BASELINE,9,,,,,,307,,,,,,,,,,,,,307,23707829,0.478608,0.059381,0.538209,
baseline,Hop10Rep1-0,10,1,0,BASELINE_FINAL,,,,,,,,,,,,,,,,,,,,,23990925,0.468760,,,6.072498
gro,Hop10Rep2-0,10,2,0,INITIAL_ROUTES,-1,2048,0.210761,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,0,2048,1.440944,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,0,,0.224329,27959,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,0,,0.088484,27959,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,0,,,,642,0.055905,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,0,,,,642,,318,0.172899,0.005840,0.173952,0.170828,0.380379,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,0,,,,,,318,,,,,,67,0.277762,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,0,,,,,,,,,,,,,,318,0.119544,0.004992,0.151953,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,0,,2.636757,,,,318,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,1,2048,1.445593,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,1,,0.210980,35568,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,1,,0.112460,35568,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,1,,,,969,0.067637,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,1,,,,969,,458,0.225734,0.006566,0.179086,0.174931,0.445953,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,1,,,,,,458,,,,,,39,0.164497,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,1,,,,,,,,,,,,,,458,0.171294,0.043227,0.248342,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,1,,2.716858,,,,458,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,2,2048,1.238136,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,2,,0.215709,40117,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,2,,0.127276,40117,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,2,,,,854,0.077361,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,2,,,,854,,402,0.252260,0.004873,0.125399,0.122170,0.419630,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,2,,,,,,402,,,,,,28,0.102027,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,2,,,,,,,,,,,,,,402,0.130269,0.048726,0.216040,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,2,,2.419923,,,,402,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,3,2048,1.230713,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,3,,0.215550,43029,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,3,,0.133143,43029,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,3,,,,858,0.081039,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,3,,,,858,,407,0.258863,0.004188,0.109947,0.107447,0.412096,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,3,,,,,,407,,,,,,49,0.080257,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,3,,,,,,,,,,,,,,407,0.153507,0.061146,0.255563,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,3,,2.434029,,,,407,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,4,2048,1.214563,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,4,,0.211536,44262,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,4,,0.134339,44262,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,4,,,,702,0.081656,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,4,,,,702,,342,0.266480,0.003557,0.093593,0.091574,0.403502,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,4,,,,,,342,,,,,,37,0.085578,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,4,,,,,,,,,,,,,,342,0.145263,0.061972,0.248496,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,4,,2.406174,,,,342,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,5,2048,1.194420,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,5,,0.214817,44184,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,5,,0.136265,44184,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,5,,,,770,0.083027,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,5,,,,770,,354,0.315596,0.004278,0.104954,0.101466,0.477747,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,5,,,,,,354,,,,,,34,0.101100,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,5,,,,,,,,,,,,,,354,0.153081,0.079335,0.274250,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,5,,2.508808,,,,354,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,6,2048,1.183967,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,6,,0.213527,43457,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,6,,0.132364,43457,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,6,,,,617,0.080603,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,6,,,,617,,294,0.270666,0.002979,0.079463,0.077330,0.395415,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,6,,,,,,294,,,,,,35,0.067616,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,6,,,,,,,,,,,,,,294,0.125286,0.062505,0.228721,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,6,,2.327690,,,,294,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,7,2048,1.177931,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,7,,0.216044,43595,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,7,,0.133326,43595,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,7,,,,661,0.082154,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,7,,,,661,,305,0.284333,0.003252,0.094270,0.091399,0.422726,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,7,,,,,,305,,,,,,34,0.073474,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,7,,,,,,,,,,,,,,305,0.140397,0.071988,0.253289,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,7,,2.384147,,,,305,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,8,2048,1.162413,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,8,,0.210979,43254,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,8,,0.135532,43254,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,8,,,,610,0.080204,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,8,,,,610,,290,0.267999,0.002917,0.078840,0.076627,0.390049,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,8,,,,,,290,,,,,,34,0.057127,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,8,,,,,,,,,,,,,,290,0.121071,0.061053,0.224755,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,8,,2.287311,,,,290,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,9,2048,1.181734,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,TDG,9,,0.214950,42751,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,IMPACT,9,,0.131935,42751,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,CANDIDATE,9,,,,522,0.081191,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,SELECT,9,,,,522,,243,0.261048,0.002476,0.067683,0.065700,0.371790,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,BATCH,9,,,,,,243,,,,,,30,0.060656,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,REROUTE,9,,,,,,,,,,,,,,243,0.110548,0.055511,0.205558,,,,,,,
gro,Hop10Rep2-0,10,2,0,ITERATION,9,,2.273150,,,,243,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,EVALUATE,-1,2048,1.157778,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep2-0,10,2,0,RUN,-1,2048,25.913171,,,,,,,,,,,,,,,,,,,,,,
baseline,Hop10Rep2-0,10,2,0,BASELINE_INITIAL,,,,,,,,,,,,,,,,,,,0.221041,,,,,,
baseline,Hop10Rep2-0,10,2,0,BASELINE,0,,,,,,614,,,,,,,,,,,,,614,66208060,1.451142,0.107848,1.559441,
baseline,Hop10Rep2-0,10,2,0,BASELINE,1,,,,,,614,,,,,,,,,,,,,614,60822408,1.596958,0.136505,1.733893,
baseline,Hop10Rep2-0,10,2,0,BASELINE,2,,,,,,614,,,,,,,,,,,,,614,60057564,1.422276,0.109984,1.532745,
baseline,Hop10Rep2-0,10,2,0,BASELINE,3,,,,,,614,,,,,,,,,,,,,614,59088274,1.428306,0.107543,1.536308,
baseline,Hop10Rep2-0,10,2,0,BASELINE,4,,,,,,614,,,,,,,,,,,,,614,58861624,1.396309,0.123700,1.520460,
baseline,Hop10Rep2-0,10,2,0,BASELINE,5,,,,,,614,,,,,,,,,,,,,614,57664372,1.369691,0.120608,1.490750,
baseline,Hop10Rep2-0,10,2,0,BASELINE,6,,,,,,614,,,,,,,,,,,,,614,57971948,1.397525,0.112484,1.510501,
baseline,Hop10Rep2-0,10,2,0,BASELINE,7,,,,,,614,,,,,,,,,,,,,614,57877644,1.379980,0.112394,1.492805,
baseline,Hop10Rep2-0,10,2,0,BASELINE,8,,,,,,614,,,,,,,,,,,,,614,57429654,1.399796,0.140240,1.540477,
baseline,Hop10Rep2-0,10,2,0,BASELINE,9,,,,,,614,,,,,,,,,,,,,614,58757233,1.358621,0.111514,1.470561,
baseline,Hop10Rep2-0,10,2,0,BASELINE_FINAL,,,,,,,,,,,,,,,,,,,,,57809447,1.371066,,,16.983133
gro,Hop10Rep4-0,10,4,0,INITIAL_ROUTES,-1,4096,0.427820,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,EVALUATE,0,4096,3.484764,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,TDG,0,,0.512371,46719,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,IMPACT,0,,0.159304,46719,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,CANDIDATE,0,,,,1635,0.104606,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,SELECT,0,,,,1635,,436,0.312518,0.019666,0.301323,0.295852,0.679592,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,BATCH,0,,,,,,436,,,,,,158,1.527843,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,REROUTE,0,,,,,,,,,,,,,,436,0.330426,0.001738,0.377092,,,,,,,
gro,Hop10Rep4-0,10,4,0,ITERATION,0,,6.875290,,,,436,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,EVALUATE,1,4096,4.079669,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,TDG,1,,0.570290,67520,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,IMPACT,1,,0.225163,67520,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,CANDIDATE,1,,,,1478,0.141799,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,SELECT,1,,,,1478,,377,0.441561,0.018374,0.234255,0.229840,0.756823,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,BATCH,1,,,,,,377,,,,,,91,0.525565,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,REROUTE,1,,,,,,,,,,,,,,377,0.259028,0.026950,0.352924,,,,,,,
gro,Hop10Rep4-0,10,4,0,ITERATION,1,,6.692285,,,,377,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,EVALUATE,2,4096,4.125101,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,TDG,2,,0.587904,80610,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,IMPACT,2,,0.267876,80610,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,CANDIDATE,2,,,,1497,0.167080,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,SELECT,2,,,,1497,,716,0.534179,0.014258,0.384706,0.375335,1.005008,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,BATCH,2,,,,,,716,,,,,,58,0.299375,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,REROUTE,2,,,,,,,,,,,,,,716,0.350325,0.091640,0.515686,,,,,,,
gro,Hop10Rep4-0,10,4,0,ITERATION,2,,7.014929,,,,716,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,EVALUATE,3,4096,4.021380,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,TDG,3,,0.625091,96164,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,IMPACT,3,,0.319537,96164,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,CANDIDATE,3,,,,1538,0.221227,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,SELECT,3,,,,1538,,721,0.688486,0.014389,0.406909,0.396899,1.194306,,,,,,,,,,,,,
gro,Hop10Rep4-0,10,4,0,BATCH,3,,,,,,721,,,,,,42,0.332365,,,,,,,,,,,
