hop,rep,algorithm,iteration,seed_count,mean_total_travel_time
10,4,tdg_selection_baseline,3,20,127429595.2
10,4,tdg_selection_baseline,4,20,126096719.0
10,4,tdg_selection_baseline,5,20,124208377.5
20,1,baseline,0,20,44147894.5
20,1,baseline,1,20,39382365.55
20,1,baseline,2,20,36679433.05
20,1,baseline,3,20,35392114.55
20,1,baseline,4,20,34534235.45
20,1,baseline,5,20,34133214.35
20,1,tdg,0,20,44147894.5
20,1,tdg,1,20,40842569.75
20,1,tdg,2,20,39109054.6
20,1,tdg,3,20,37911542.7
20,1,tdg,4,20,36989483.85
20,1,tdg,5,20,36460712.3
20,1,tdg_reroute_baseline,0,20,44147894.5
20,1,tdg_reroute_baseline,1,20,37899840.9
20,1,tdg_reroute_baseline,2,20,35662557.45
20,1,tdg_reroute_baseline,3,20,35106320.95
20,1,tdg_reroute_baseline,4,20,35091910.5
20,1,tdg_reroute_baseline,5,20,35460885.85
20,1,tdg_selection_baseline,0,20,44147894.5
20,1,tdg_selection_baseline,1,20,41648725.25
20,1,tdg_selection_baseline,2,20,40083051.5
20,1,tdg_selection_baseline,3,20,38516002.8
20,1,tdg_selection_baseline,4,20,37822350.45
20,1,tdg_selection_baseline,5,20,37395942.05
20,2,baseline,0,20,115103365.6
20,2,baseline,1,20,102952169.45
20,2,baseline,2,20,94392869.0
20,2,baseline,3,20,89667466.3
20,2,baseline,4,20,88667646.25
20,2,baseline,5,20,86985932.25
20,2,tdg,0,20,115103365.6
20,2,tdg,1,20,110056752.65
20,2,tdg,2,20,106360224.3
20,2,tdg,3,20,102881058.1
20,2,tdg,4,20,100095099.05
20,2,tdg,5,20,97479567.6
20,2,tdg_reroute_baseline,0,20,115103365.6
20,2,tdg_reroute_baseline,1,20,103395009.8
20,2,tdg_reroute_baseline,2,20,96163302.3
20,2,tdg_reroute_baseline,3,20,94082168.0
20,2,tdg_reroute_baseline,4,20,91757202.75
20,2,tdg_reroute_baseline,5,20,90670108.05
20,2,tdg_selection_baseline,0,20,115103365.6
20,2,tdg_selection_baseline,1,20,110469481.9
20,2,tdg_selection_baseline,2,20,106958813.45
20,2,tdg_selection_baseline,3,20,103907958.85
20,2,tdg_selection_baseline,4,20,101141720.65
20,2,tdg_selection_baseline,5,20,99328204.2
20,4,baseline,0,20,272706806.15
20,4,baseline,1,20,252460652.3
20,4,baseline,2,20,241417440.65
20,4,baseline,3,20,232517152.6
20,4,baseline,4,20,227864089.45
20,4,baseline,5,20,222616004.3
20,4,tdg,0,20,272706806.15
20,4,tdg,1,20,263099369.2
20,4,tdg,2,20,258177772.9
20,4,tdg,3,20,260485393.35
20,4,tdg,4,20,264317930.75
20,4,tdg,5,20,268482176.8
20,4,tdg_reroute_baseline,0,20,272706806.15
20,4,tdg_reroute_baseline,1,20,262555627.55
20,4,tdg_reroute_baseline,2,20,266172470.75
20,4,tdg_reroute_baseline,3,20,266813620.2
20,4,tdg_reroute_baseline,4,20,261079447.6
20,4,tdg_reroute_baseline,5,20,249423641.9
20,4,tdg_selection_baseline,0,20,272706806.15
20,4,tdg_selection_baseline,1,20,264755477.1
20,4,tdg_selection_baseline,2,20,255646753.6
20,4,tdg_selection_baseline,3,20,250849836.15
20,4,tdg_selection_baseline,4,20,246999889.9
20,4,tdg_selection_baseline,5,20,243494115.2
40,1,baseline,0,20,72255411.45
40,1,baseline,1,20,67072015.3
40,1,baseline,2,20,63986024.6
40,1,baseline,3,20,62491765.6
40,1,baseline,4,20,61279320.95
40,1,baseline,5,20,60233757.6
40,1,tdg,0,20,72255411.45
40,1,tdg,1,20,66736909.6
40,1,tdg,2,20,64098279.0
40,1,tdg,3,20,63450420.55
40,1,tdg,4,20,62686400.45
40,1,tdg,5,20,62172789.5
40,1,tdg_reroute_baseline,0,20,72255411.45
40,1,tdg_reroute_baseline,1,20,63967229.0
40,1,tdg_reroute_baseline,2,20,61462652.75
40,1,tdg_reroute_baseline,3,20,61672023.35
40,1,tdg_reroute_baseline,4,20,62258576.7
40,1,tdg_reroute_baseline,5,20,62258805.75
40,1,tdg_selection_baseline,0,20,72255411.45
40,1,tdg_selection_baseline,1,20,68484992.25
40,1,tdg_selection_baseline,2,20,66024284.15
40,1,tdg_selection_baseline,3,20,64044751.1
40,1,tdg_selection_baseline,4,20,62908810.75
40,1,tdg_selection_baseline,5,20,62333880.5
40,2,baseline,0,20,196926437.05
40,2,baseline,1,20,174608632.15
40,2,baseline,2,20,161724001.15
40,2,baseline,3,20,153303637.85
40,2,baseline,4,20,147810102.2
40,2,baseline,5,20,145090514.85
40,2,tdg,0,20,196926437.05
40,2,tdg,1,20,183061583.1
40,2,tdg,2,20,171572078.5
40,2,tdg,3,20,161561384.4
40,2,tdg,4,20,154935663.05
40,2,tdg,5,20,152462692.55
40,2,tdg_reroute_baseline,0,20,196926437.05
40,2,tdg_reroute_baseline,1,20,162720051.35
40,2,tdg_reroute_baseline,2,20,148246754.3
40,2,tdg_reroute_baseline,3,20,143976987.15
40,2,tdg_reroute_baseline,4,20,144322187.0
40,2,tdg_reroute_baseline,5,20,143742132.3
40,2,tdg_selection_baseline,0,20,196926437.05
40,2,tdg_selection_baseline,1,20,186129218.25
40,2,tdg_selection_baseline,2,20,176843960.55
40,2,tdg_selection_baseline,3,20,170685164.4
40,2,tdg_selection_baseline,4,20,165322702.45
40,2,tdg_selection_baseline,5,20,160634996.9
40,4,baseline,0,8,549172868.375
40,4,baseline,1,8,489508542.875
40,4,baseline,2,8,451179139.875
40,4,baseline,3,8,422078106.125
40,4,baseline,4,8,405765130.625
40,4,baseline,5,8,402583507.75
40,4,tdg,0,8,549172868.375
40,4,tdg,1,8,522699824.375
40,4,tdg,2,8,498191065.125
40,4,tdg,3,8,473236963.75
40,4,tdg,4,8,452120658.375
40,4,tdg,5,8,436127948.375
40,4,tdg_reroute_baseline,0,8,549172868.375
40,4,tdg_reroute_baseline,1,8,473343227.625
40,4,tdg_reroute_baseline,2,8,440089624.5
40,4,tdg_reroute_baseline,3,8,427189030.625
40,4,tdg_reroute_baseline,4,8,411648679.25
40,4,tdg_reroute_baseline,5,8,404457134.625
40,4,tdg_selection_baseline,0,8,549172868.375
40,4,tdg_selection_baseline,1,8,530845422.375
40,4,tdg_selection_baseline,2,8,513837581.625
40,4,tdg_selection_baseline,3,8,492246397.5
40,4,tdg_selection_baseline,4,8,471676606.625
40,4,tdg_selection_baseline,5,8,458396280.875
